Y,X1,X2,X3
78474000,451,200,870
129907680,966,410,328
94326336,247,416,918
19464796,221,388,227
31820022,306,247,421
184176640,782,320,736
22731520,301,118,640
37828560,154,920,267
28706000,775,926,40
80151984,594,404,334
357210,54,49,135
242135040,672,640,563
60978918,182,781,429
123229314,331,962,387
105692128,629,356,472
7274660,235,109,284
11605356,774,21,714
12407650,58,215,995
52844544,752,288,244
62632024,91,758,908
16147584,214,96,786
80788760,260,703,442
26841696,677,472,84
77219605,205,899,419
45736692,86,906,587
200258775,435,653,705
53195688,728,353,207
3554005,13,749,365
58297250,430,319,425
14953785,321,605,77
86054800,871,100,988
49718097,237,489,429
2642346,626,201,21
61333455,179,795,431
34517964,541,78,818
1549152,326,72,66
37824864,539,731,96
732600,555,44,30
163310940,691,303,780
238982260,628,407,935
105340311,267,531,743
335261080,770,646,674
28301906,227,386,323
34088220,205,894,186
247261872,858,442,652
23625000,250,525,180
2968812,42,77,918
3081600,400,321,24
10666656,462,148,156
44404002,438,719,141
50131640,221,530,428
5431160,163,35,952
20754327,419,627,79
6611456,148,128,349
317167200,930,812,420
180587880,990,324,563
266737272,827,906,356
72331872,697,184,564
8594976,416,71,291
37588608,804,48,974
491434020,669,954,770
206249820,511,651,620
360217200,888,427,950
636059732,847,964,779
69252348,458,638,237
227622150,518,567,775
85123675,403,497,425
820820,286,287,10
212836974,551,714,541
823788000,1000,934,882
201084840,927,319,680
4425015,777,335,17
144966276,532,663,411
75304372,247,451,676
40633536,422,816,118
15260322,51,638,469
23643999,333,101,703
42615936,864,118,418
395966340,924,801,535
13635550,230,167,355
81904932,758,207,522
478531606,749,989,646
21677500,125,754,230
216996318,258,847,993
46702880,805,148,392
68996268,748,831,111
24415380,171,484,295
127072608,598,228,932
249336096,932,314,852
102396,2,161,318
53312248,683,88,887
111797205,871,129,995
52258500,735,474,150
102856760,620,218,761
125061860,578,281,770
89129052,747,489,244
1669212,398,6,699
56312964,666,631,134
7543395,15,639,787
