Y,X1,X2,X3
78474000,451,200,870
129907680,966,410,328
94326336,247,416,918
19464796,221,388,227
31820022,306,247,421
184176640,782,320,736
22731520,301,118,640
37828560,154,920,267
28706000,775,926,40
80151984,594,404,334
357210,54,49,135
242135040,672,640,563
60978918,182,781,429
123229314,331,962,387
105692128,629,356,472
7274660,235,109,284
11605356,774,21,714
12407650,58,215,995
52844544,752,288,244
62632024,91,758,908
16147584,214,96,786
80788760,260,703,442
26841696,677,472,84
77219605,205,899,419
45736692,86,906,587
200258775,435,653,705
53195688,728,353,207
3554005,13,749,365
58297250,430,319,425
14953785,321,605,77
86054800,871,100,988
49718097,237,489,429
2642346,626,201,21
61333455,179,795,431
34517964,541,78,818
1549152,326,72,66
37824864,539,731,96
732600,555,44,30
163310940,691,303,780
238982260,628,407,935
105340311,267,531,743
335261080,770,646,674
28301906,227,386,323
34088220,205,894,186
247261872,858,442,652
23625000,250,525,180
2968812,42,77,918
3081600,400,321,24
10666656,462,148,156
44404002,438,719,141
50131640,221,530,428
5431160,163,35,952
20754327,419,627,79
6611456,148,128,349
317167200,930,812,420
180587880,990,324,563
266737272,827,906,356
72331872,697,184,564
8594976,416,71,291
37588608,804,48,974
491434020,669,954,770
206249820,511,651,620
360217200,888,427,950
636059732,847,964,779
69252348,458,638,237
227622150,518,567,775
85123675,403,497,425
820820,286,287,10
212836974,551,714,541
823788000,1000,934,882
201084840,927,319,680
4425015,777,335,17
144966276,532,663,411
75304372,247,451,676
40633536,422,816,118
15260322,51,638,469
23643999,333,101,703
42615936,864,118,418
395966340,924,801,535
13635550,230,167,355
81904932,758,207,522
478531606,749,989,646
21677500,125,754,230
216996318,258,847,993
46702880,805,148,392
68996268,748,831,111
24415380,171,484,295
127072608,598,228,932
249336096,932,314,852
102396,2,161,318
53312248,683,88,887
111797205,871,129,995
52258500,735,474,150
102856760,620,218,761
125061860,578,281,770
89129052,747,489,244
1669212,398,6,699
56312964,666,631,134
7543395,15,639,787
306109496,679,517,872
40384344,451,273,328
453319152,844,626,858
1147930,161,23,310
7417260,45,178,926
18813168,107,198,888
19696950,117,910,185
446146960,980,994,458
7212590,551,110,119
125755005,215,723,809
70654026,659,334,321
69566910,983,210,337
31882266,606,71,741
77047320,670,259,444
304001880,861,970,364
568146424,899,788,802
37252800,96,650,597
132813728,758,188,932
20762280,428,385,126
278051742,751,603,614
459336775,635,995,727
36475760,890,188,218
158623872,752,282,748
33592000,272,494,250
100980,55,2,918
1286104,4,373,862
17734827,653,823,33
3312144,492,68,99
14354300,23,790,790
14557536,216,83,812
5268000,878,250,24
76269613,251,523,581
284820270,654,805,541
45993088,248,692,268
24127488,357,192,352
104500704,308,633,536
150295356,254,926,639
12733272,404,306,103
155785161,579,289,931
15719424,344,56,816
243283458,979,498,499
121006119,797,221,687
215654400,864,256,975
243260880,460,762,694
226850250,750,341,887
86394000,968,119,750
7295805,187,51,765
423238464,603,997,704
103140756,666,974,159
2600720,290,118,76
1230390,21,651,90
53712829,361,191,779
65866290,519,245,518
2817360,516,91,60
103494430,842,155,793
61958250,137,603,750
55967142,759,229,322
296111808,933,551,576
6648480,162,90,456
10860720,24,767,590
36072960,610,84,704
38949900,580,121,555
54729216,856,111,576
670525152,984,911,748
39746220,151,321,820
6068400,65,778,120
32877312,48,712,962
263878944,744,371,956
23483005,365,707,91
440700000,678,1000,650
62152960,640,823,118
46818432,414,744,152
119457612,516,887,261
247398652,586,841,502
246084480,303,960,846
474851916,957,693,716
247990236,596,611,681
69160154,707,118,829
36399024,654,773,72
83011425,917,255,355
375903429,627,907,661
12434400,785,66,240
239196140,545,971,452
67190816,847,296,268
74000160,134,585,944
3590672,614,17,344
30789548,989,43,724
66002670,537,510,241
6690332,22,506,601
48464220,346,690,203
61106500,595,158,650
343985292,461,882,846
39394768,112,373,943
376655260,404,937,995
179342064,708,418,606
74411526,721,334,309
439335558,989,851,522
11085360,209,195,272
175993384,446,476,829
19943890,206,335,289
234739968,474,848,584
337133692,839,452,889
6007040,380,208,76
9153102,163,573,98
29465625,75,875,449
2452340,355,22,314
9643200,861,160,70
131611116,273,949,508
150299190,426,645,547
64350720,980,72,912
143234725,421,775,439
60657900,354,575,298
68352,178,192,2
89631036,913,101,972
373412871,741,697,723
203189805,841,413,585
14259360,61,240,974
6680647,587,599,19
112310760,732,335,458
261314592,742,759,464
62248500,450,795,174
48606624,528,458,201
235698022,854,899,307
